weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
392,"{'top_left': 39, 'top_right': 29, 'bottom_left': 162, 'bottom_right': 162}","{'top_left': 0.07738095238095238, 'top_right': 0.057539682539682536, 'bottom_left': 0.32142857142857145, 'bottom_right': 0.32142857142857145}","(16.772959183673468, 38.71173469387755)","(0.4792274052478134, 0.7038497217068646)","(95.2459847459392, 71.23161573302791)","(0.030371806360312243, 0.05496266646066968)"
518,"{'top_left': 77, 'top_right': 60, 'bottom_left': 204, 'bottom_right': 177}","{'top_left': 0.16176470588235295, 'top_right': 0.12605042016806722, 'bottom_left': 0.42857142857142855, 'bottom_right': 0.37184873949579833}","(15.637065637065637, 36.94980694980695)","(0.4599136952078129, 0.6718146718146718)","(131.49941115964282, 78.68295046287324)","(0.041932210191212634, 0.06423097996969244)"
368,"{'top_left': 61, 'top_right': 67, 'bottom_left': 151, 'bottom_right': 89}","{'top_left': 0.11466165413533834, 'top_right': 0.12593984962406016, 'bottom_left': 0.28383458646616544, 'bottom_right': 0.16729323308270677}","(16.554347826086957, 36.77717391304348)","(0.4474148061104583, 0.6686758893280632)","(156.89600070888469, 99.01878544423441)","(0.05003061247094537, 0.06857256609711525)"
472,"{'top_left': 85, 'top_right': 58, 'bottom_left': 180, 'bottom_right': 149}","{'top_left': 0.15977443609022557, 'top_right': 0.10902255639097744, 'bottom_left': 0.3383458646616541, 'bottom_right': 0.2800751879699248}","(16.91313559322034, 36.97457627118644)","(0.4571117727897389, 0.6722650231124808)","(147.24087905774206, 112.25728508330938)","(0.046951810924024895, 0.07774050213525581)"
445,"{'top_left': 77, 'top_right': 56, 'bottom_left': 204, 'bottom_right': 108}","{'top_left': 0.16176470588235295, 'top_right': 0.11764705882352941, 'bottom_left': 0.42857142857142855, 'bottom_right': 0.226890756302521}","(13.81123595505618, 37.05842696629213)","(0.4062128222075347, 0.6737895812053115)","(158.28872112107055, 67.50144678702183)","(0.05047471974523934, 0.0551032218669566)"
333,"{'top_left': 73, 'top_right': 52, 'bottom_left': 168, 'bottom_right': 40}","{'top_left': 0.16294642857142858, 'top_right': 0.11607142857142858, 'bottom_left': 0.375, 'bottom_right': 0.08928571428571429}","(11.24924924924925, 32.933933933933936)","(0.3628790080402984, 0.5987987987987988)","(112.81245209173137, 48.691628565502434)","(0.035973358447618425, 0.04755041852099847)"
446,"{'top_left': 61, 'top_right': 71, 'bottom_left': 151, 'bottom_right': 163}","{'top_left': 0.10892857142857143, 'top_right': 0.12678571428571428, 'bottom_left': 0.26964285714285713, 'bottom_right': 0.2910714285714286}","(19.67713004484305, 37.31390134529148)","(0.5045417960216166, 0.6784345699143904)","(138.04944800820448, 119.8374590279314)","(0.04402086990057541, 0.07489841189245712)"
413,"{'top_left': 45, 'top_right': 36, 'bottom_left': 180, 'bottom_right': 152}","{'top_left': 0.08458646616541353, 'top_right': 0.06766917293233082, 'bottom_left': 0.3383458646616541, 'bottom_right': 0.2857142857142857}","(17.20096852300242, 36.70944309927361)","(0.46489104116222757, 0.6674444199867928)","(92.51121833392938, 127.69084651959031)","(0.029499750744237684, 0.08842856407173844)"
185,"{'top_left': 18, 'top_right': 27, 'bottom_left': 56, 'bottom_right': 84}","{'top_left': 0.09183673469387756, 'top_right': 0.1377551020408163, 'bottom_left': 0.2857142857142857, 'bottom_right': 0.42857142857142855}","(7.0, 37.0)","(0.5384615384615384, 0.6727272727272727)","(114.0, 2.0)","(0.03635204081632653, 0.01020408163265306)"
240,"{'top_left': 0, 'top_right': 45, 'bottom_left': 61, 'bottom_right': 134}","{'top_left': 0.0, 'top_right': 0.12362637362637363, 'bottom_left': 0.16758241758241757, 'bottom_right': 0.36813186813186816}","(15.358333333333333, 40.025)","(0.6143333333333333, 0.7277272727272727)","(120.64104166666667, 33.18826388888888)","(0.03846971991921769, 0.04909506492439184)"
